2016-02-16 21:51:55,134 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:51:55,135 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\test\resources
2016-02-16 21:52:04,604 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:52:04,604 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\main\resources
2016-02-16 21:52:04,606 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:52:04,606 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\test\resources
2016-02-16 21:52:49,192 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:52:49,193 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\main\resources
2016-02-16 21:52:49,194 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:52:49,194 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\test\resources
2016-02-16 21:52:59,938 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:52:59,939 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\main\resources
2016-02-16 21:52:59,940 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:52:59,941 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\test\resources
2016-02-16 21:59:49,800 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:59:49,801 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\main\resources
2016-02-16 21:59:49,802 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 21:59:49,803 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\test\resources
2016-02-16 22:00:42,048 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 22:00:42,049 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\main\resources
2016-02-16 22:00:42,050 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-16 22:00:42,051 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Documentos\Devmedia\Cursos\Curso de Android Studio\Workspace\Projetos\rest-web\src\test\resources
